Date;Component;Affiliate Name;Class Name;Result;Is Personal Record;Personal Record Description;Performance Result Type;Comment;From Weightlifting Total
02/02/2018;Deadlift;CrossFit Sudurnes;17:30 CrossFit;3 x 8 @ 70 kg;TRUE;PR by 2 sets vs. 1 on 01/19/2018;Weight;;FALSE
01/31/2018;Power Clean + Push Jerk;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 55 kg;TRUE;PR by 2.5 kg vs. 52.5 on 11/15/2017;Weight;;FALSE
01/31/2018;Power Snatch + Overhead squat;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 27.5 kg;FALSE;;Weight;;FALSE
01/31/2018;Power Snatch;CrossFit Sudurnes;19:30 Ólympískar lyftingar;10 x 3 @ 27.5 kg;TRUE;PR by 9 sets vs. 1 on 11/20/2017;Weight;;FALSE
01/31/2018;Power Clean;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 16 @ 32.5 kg;FALSE;;Weight;;FALSE
01/30/2018;Back Squat;CrossFit Sudurnes;17:30 CrossFit;1 x 6 @ 52.5 kg;FALSE;;Weight;;FALSE
01/26/2018;Deadlift;CrossFit Sudurnes;12:00 CrossFit;1 x 8 @ 65 kg;FALSE;;Weight;;FALSE
01/25/2018;Power Snatch;CrossFit Sudurnes;17:30 CrossFit;1 x 8 @ 25 kg;FALSE;;Weight;;FALSE
01/23/2018;Back Squat;CrossFit Sudurnes;16:30 CrossFit;3 x 8 @ 50 kg;TRUE;PR by 2 sets vs. 1 on 01/02/2018;Weight;;FALSE
01/23/2018;Barbell Row;CrossFit Sudurnes;16:30 CrossFit;3 x 8 @ 20 kg;FALSE;;Weight;;FALSE
01/19/2018;Deadlift;CrossFit Sudurnes;11:00 CrossFit;1 x 8 @ 70 kg;TRUE;PR by 15 kg vs. 55 on 09/14/2017;Weight;;FALSE
01/16/2018;Back Squat;CrossFit Sudurnes;17:30 CrossFit;4 x 8 @ 50 kg;TRUE;PR by 3 sets vs. 1 on 01/02/2018;Weight;;FALSE
01/15/2018;Power Clean + Squat Clean + Split Jerk;CrossFit Sudurnes;18:30 CrossFit;1 x 1 @ 50 kg;FALSE;;Weight;;FALSE
01/02/2018;Push Press m. Handlóð;CrossFit Sudurnes;16:30 CrossFit;3 x 10 @ 10 kg;FALSE;;Weight;;FALSE
01/02/2018;Back Squat;CrossFit Sudurnes;16:30 CrossFit;1 x 8 @ 50 kg;FALSE;;Weight;;FALSE
12/22/2017;Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 57.5 kg;TRUE;PR by 2.5 kg vs. 55 on 11/22/2017;Weight;;FALSE
